Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-04-14 20:41:10;2020-04-15 04:12:07;88%;0%;;0;0;Normal;102.1;;69.4;27056.9;23449.3;541.1;2020-04-15 04:30:00;2020-04-15 05:00:00;true;444.0;32.0;No weather;
2020-04-15 20:51:15;2020-04-16 04:35:19;70%;0%;;0;0;Normal;102.0;;92.5;27844.9;24225.0;2227.6;2020-04-16 04:30:00;2020-04-16 05:00:00;true;0.0;32.0;No weather;
2020-04-16 21:35:21;2020-04-17 04:55:13;80%;91%;;0;0;Normal;101.7;Steilacoom;74.0;26392.4;22257.6;527.8;2020-04-17 04:30:00;2020-04-17 05:00:00;true;547.0;37.6;Sunny;
2020-04-19 20:41:45;2020-04-20 04:57:51;75%;92%;;0;0;Normal;101.5;Steilacoom;92.6;29766.6;26889.2;595.3;2020-04-20 04:30:00;2020-04-20 05:00:00;true;67.0;44.2;Fair;
2020-04-20 20:47:33;2020-04-21 04:34:02;70%;96%;;0;0;Normal;101.7;Steilacoom;96.9;27988.7;23790.4;559.8;2020-04-21 04:30:00;2020-04-21 05:00:00;true;93.0;45.9;Cloudy;
2020-04-21 20:36:41;2020-04-22 04:45:47;94%;96%;;0;4951;Normal;102.2;Steilacoom;71.1;29345.9;25335.3;2934.6;2020-04-22 04:30:00;2020-04-22 05:00:00;true;1001.0;45.9;Cloudy;
2020-04-22 20:36:24;2020-04-23 04:16:35;79%;96%;;0;464;Normal;101.5;Steilacoom;82.0;27611.1;23193.3;552.2;2020-04-23 04:30:00;2020-04-23 05:00:00;true;581.0;49.5;Rain;
2020-04-23 20:49:34;2020-04-24 04:07:39;84%;97%;;0;559;Normal;102.3;Steilacoom;70.3;26285.0;20151.8;525.7;2020-04-24 04:30:00;2020-04-24 05:00:00;true;0.0;45.0;Rain;
2020-04-26 19:57:56;2020-04-27 04:36:29;75%;89%;;0;3802;Normal;101.0;Steilacoom;98.0;31113.1;29038.9;622.3;2020-04-27 04:30:00;2020-04-27 05:00:00;true;0.0;49.8;Cloudy;
2020-04-27 20:27:30;2020-04-28 04:20:36;89%;94%;;0;15;Normal;101.9;Steilacoom;73.2;28385.9;22519.5;4068.6;2020-04-28 04:30:00;2020-04-28 05:00:00;true;0.0;45.0;Cloudy;
2020-04-28 20:25:56;2020-04-29 04:33:35;87%;96%;;0;752;Normal;101.9;Steilacoom;77.6;29258.9;25357.7;3218.5;2020-04-29 04:30:00;2020-04-29 05:00:00;true;0.0;47.1;Cloudy;
2020-04-29 21:00:42;2020-04-30 02:04:12;42%;89%;;0;309;Normal;101.1;Steilacoom;103.2;18210.4;14204.1;364.2;2020-04-30 04:30:00;2020-04-30 05:00:00;true;73.0;50.2;Cloudy;
2020-04-30 03:01:37;2020-04-30 03:19:29;4%;0%;;0;309;Normal;101.4;Steilacoom;0.0;1072.6;1051.2;21.5;2020-04-30 04:30:00;2020-04-30 05:00:00;true;0.0;32.0;No weather;
2020-04-30 21:45:05;2020-05-01 04:47:10;81%;81%;;0;848;Normal;101.8;Anderson Island;69.7;25324.2;21694.4;506.5;2020-05-01 04:30:00;2020-05-01 05:00:00;true;0.0;41.9;Fair;
2020-05-03 20:09:30;2020-05-04 04:35:13;73%;85%;;0;518;Normal;102.2;Steilacoom;101.0;30342.6;26195.7;2326.3;2020-05-04 04:30:00;2020-05-04 05:00:00;true;0.0;37.6;Sunny;
